Using device: cuda
Epoch 1/200, Loss: 0.4278433322906494, Acc: 0.07972605845757894, MSE: 1.0059813175882613, MAE: 0.8031777313777378
Epoch 2/200, Loss: 0.3033979194504874, Acc: 0.09750789084604808, MSE: 0.6635894094194684, MAE: 0.6520197306360517
Epoch 3/200, Loss: 0.26690045637743814, Acc: 0.103512989623206, MSE: 0.5722205255712781, MAE: 0.6068777101380485
Epoch 4/200, Loss: 0.27202474006584715, Acc: 0.10918672808579036, MSE: 0.5990011096000671, MAE: 0.6055853366851807
Epoch 5/200, Loss: 0.2950723405395235, Acc: 0.10900297654526574, MSE: 0.6773321841444288, MAE: 0.6290169145379748
Epoch 6/200, Loss: 0.21721231085913523, Acc: 0.11428059211799077, MSE: 0.4583628475666046, MAE: 0.5390887004988534
Epoch 7/200, Loss: 0.1918403101818902, Acc: 0.13280346351010458, MSE: 0.4058447778224945, MAE: 0.496284829718726
Epoch 8/200, Loss: 0.16078113125903265, Acc: 0.14670088780777796, MSE: 0.33169248487268177, MAE: 0.45134575026375906
Epoch 9/200, Loss: 0.15256344952753612, Acc: 0.15126608312129974, MSE: 0.31828261273247854, MAE: 0.43726907883371624
Epoch 10/200, Loss: 0.14878937495606287, Acc: 0.14918606409004756, MSE: 0.3075647460562842, MAE: 0.43377564208848135
Epoch 11/200, Loss: 0.13317229811634337, Acc: 0.14594027187143052, MSE: 0.2743230313062668, MAE: 0.4143338033131191
Epoch 12/200, Loss: 0.1245746665767261, Acc: 0.16655822417565755, MSE: 0.25467682097639355, MAE: 0.3949752449989319
Epoch 13/200, Loss: 0.07893787963049752, Acc: 0.2274541492973055, MSE: 0.1594390571117401, MAE: 0.3038189560174942
Epoch 14/200, Loss: 0.06365141112889562, Acc: 0.23504223142351424, MSE: 0.12777218222618103, MAE: 0.27884338583265034
Epoch 15/200, Loss: 0.05299665353127888, Acc: 0.2634289988449642, MSE: 0.10674403075660978, MAE: 0.25118161950792584
Epoch 16/200, Loss: 0.0444428271480969, Acc: 0.28750662931374144, MSE: 0.08927179872989655, MAE: 0.23026880409036363
Epoch 17/200, Loss: 0.03932906926742622, Acc: 0.30523574565138134, MSE: 0.07867054375154632, MAE: 0.21659792533942632
Epoch 18/200, Loss: 0.03462230094841549, Acc: 0.3172519675322941, MSE: 0.06935058534145355, MAE: 0.20397148600646428
Epoch 19/200, Loss: 0.03595559325601373, Acc: 0.29940687119960785, MSE: 0.07192182274801391, MAE: 0.2119038999080658
Epoch 20/200, Loss: 0.032802811956831386, Acc: 0.33481540424483164, MSE: 0.06563180685043335, MAE: 0.19809732692582266
Epoch 21/200, Loss: 0.028835082426667213, Acc: 0.345711031130382, MSE: 0.05767156236938068, MAE: 0.18738653191498347
Epoch 22/200, Loss: 0.022987905889749527, Acc: 0.37496686833245413, MSE: 0.04597581124731472, MAE: 0.16815852054527827
Epoch 23/200, Loss: 0.019889535116297857, Acc: 0.4011124627930777, MSE: 0.03978151668395315, MAE: 0.15577205376965658
Epoch 24/200, Loss: 0.019937565018023764, Acc: 0.39594931261880056, MSE: 0.039875129237771034, MAE: 0.15714425912925176
Epoch 25/200, Loss: 0.02137958857097796, Acc: 0.379708285842623, MSE: 0.042759954663259644, MAE: 0.16338772220270975
Epoch 26/200, Loss: 0.022362616445337023, Acc: 0.35858276060649324, MSE: 0.04472523422113487, MAE: 0.16908436375004904
Epoch 27/200, Loss: 0.024343971695218767, Acc: 0.3549830104623522, MSE: 0.04868795669504574, MAE: 0.175079488328525
Epoch 28/200, Loss: 0.026106814720800946, Acc: 0.3422664191041674, MSE: 0.05221363050597055, MAE: 0.18150856026581355
Epoch 29/200, Loss: 0.023472730070352554, Acc: 0.35903159635407583, MSE: 0.046945457479783466, MAE: 0.17262770235538483
Epoch 30/200, Loss: 0.022511197786246027, Acc: 0.3729576255593981, MSE: 0.045022634523255486, MAE: 0.16704322397708893
Epoch 31/200, Loss: 0.021693771571985314, Acc: 0.37967213562556673, MSE: 0.043387703597545624, MAE: 0.16383654730660574
Epoch 32/200, Loss: 0.021171234281999723, Acc: 0.37041522349630085, MSE: 0.042342468830091615, MAE: 0.16381512582302094
Epoch 33/200, Loss: 0.018746913809861456, Acc: 0.4101585064615522, MSE: 0.037494378962687085, MAE: 0.15210619568824768
Epoch 34/200, Loss: 0.016794219879167422, Acc: 0.4338023577417646, MSE: 0.03358843922615051, MAE: 0.14338746241160802
Epoch 35/200, Loss: 0.01478383716728006, Acc: 0.4717487777982439, MSE: 0.02956767619720527, MAE: 0.13283368412937438
Epoch 36/200, Loss: 0.012585541366466455, Acc: 0.5017140252249581, MSE: 0.025171082999025072, MAE: 0.12330292271716255
